bar_diameter_mm,h_convection,T_core_initial,delta_T_initial,T_water,quench_time_s,T_surface_initial,dt,n_steps,T_surface_end,T_surface_min,peak_cooling_rate,mean_cooling_rate,gap_core_surface,gap_subsurface_surface,T_core_end,rim_depth_mm,Bi_surface_end,Fo_surface_end,stability_worst
30.39495494488628,24546.833646807438,964.5353505200221,66.55043866182343,50.64529113260562,0.32209349068681803,897.9849118581986,0.0010374346438609516,310,414.0994881142035,414.0994881142035,-11035.273755646549,-1504.5966808527312,548.4399330111986,176.1336179870642,962.5394211254021,0.7598738736221584,0.4504855563571218,0.015231881444186253,0.022093624030936215
13.492091544260354,22196.41807084169,956.9679715918311,60.09160234368407,37.83146009878837,0.34461384792131305,896.8763692481471,0.0002726431138965177,1264,434.53545994066513,434.53545994066513,-22454.157215986288,-1341.5927899919673,511.46204373846973,74.70036512138074,945.9975036791349,1.0119068658195272,0.18347817118225837,0.019603838903780473,0.023200715413997722
28.493058278930377,17305.317151601877,1063.889146450293,61.46212687970254,35.422270760649205,0.2683067428099566,1002.4270195705906,0.0010368801440163266,259,496.0552758717851,496.0552758717851,-9322.38346004048,-1885.5634075036935,566.0268256650972,206.5932422515645,1062.0821015368824,-1.734723475976807e-15,0.3160661283214677,0.01486446673305124,0.01956262118293
22.36298685702694,24781.050068026336,1081.8104780649787,131.6075790053117,28.551465098780255,0.3242111995327824,950.2028990596671,0.000613384887234992,529,429.4930777999028,429.4930777999028,-16147.155923354068,-1604.7486742772126,644.6535910708367,144.95745805543282,1074.1466688707394,0.5590746714256735,0.33823923784878984,0.016197901956037306,0.021676667968396783
31.274792605107297,21584.160838764437,954.8833197490683,91.49269937236879,26.442285525396624,0.18929872960281563,863.3906203766995,0.001146106962985382,165,441.71156740704066,441.71156740704066,-9260.542855948184,-2229.836050730925,511.658996382199,213.1180242114724,953.3705637892397,0.7818698151276816,0.415713502825986,0.015140842857774731,0.021435095677918077
19.54269205428338,12890.974708026974,1070.4185436604655,89.7715900489942,35.22652220943621,0.3428377202670482,980.6469536114713,0.0005743875151604567,597,559.644845273756,559.644845273756,-9568.371244243606,-1227.7358799707006,503.55121066585787,101.76772262538066,1063.1960559396139,0.4885673013570839,0.16963532255773422,0.015154900386449508,0.017725706801835203
19.785236211471034,20855.728852213222,1046.1932726627374,140.8883643342196,28.428142404056384,0.28715305075164255,905.3049083285177,0.0005296646129566596,542,469.27236981635633,469.27236981635633,-14412.1050817847,-1518.8631801263082,567.7542294378788,119.14392175206001,1037.0265992542352,0.9892618105735527,0.25922766408220654,0.01660858890634403,0.020913994612237245
24.640990279593247,10210.62900075854,973.5419350496512,140.36587260708387,26.18062608104849,0.1119631966233624,833.1760624425674,0.0009393829847862433,119,631.6571678707617,631.6571678707617,-4974.236570727143,-1802.7110521104926,339.66393562674784,122.04576560816167,971.3211034975095,0.0,0.17964915230826528,0.012621644595761492,0.016629816969004948
12.541641831520916,14835.807425491721,1021.7000229493813,71.9987729550415,26.510653781124894,0.26888964547641997,949.7012499943397,0.0002523039329708342,1066,559.1422380508374,559.1422380508374,-16789.030358609743,-1452.129801031981,451.2003407920224,66.95914013727872,1010.3425788428598,0.6270820915760464,0.1251788848355488,0.016183797503925384,0.018209667227871103
13.934143936117035,11336.578129069341,1036.8852710561155,142.73854313400784,43.94301015009361,0.12036894580269335,894.1467279221076,0.00031745727630695284,379,653.8875740354687,653.8875740354687,-9845.498953308557,-1996.8960022036301,375.1787987832287,87.06424405380767,1029.0663728186973,8.673617379884035e-16,0.11970717546574422,0.012577340888736863,0.016660322449041257
24.935491891401014,24455.867113815708,991.8586909733797,110.53916685709733,31.26826408399997,0.23476934191639248,881.3195241162823,0.0007516627200913165,312,436.74794453318714,436.74794453318714,-13306.152196483314,-1895.675907336565,551.4863922115861,161.2597962014903,988.2343367447733,0.6233872972850243,0.37412675602011963,0.015760761654899015,0.021657284285252675
17.349495737439334,20800.881497058122,1082.992295541358,66.42721376846127,45.639270766359026,0.2131631130651147,1016.5650817728969,0.0004174502873329433,511,523.7480914812015,523.7028285906674,-18409.63285418502,-2310.2554723546605,555.0112249533283,125.97878761483412,1078.7593164345299,0.43373739343598344,0.23606808489944578,0.0152125373701771,0.018805504916749552
17.155375220646835,20352.981815424042,981.7354243145777,137.61976935132967,28.235320312111664,0.32639086811886375,844.1156549632481,0.0004228569679472936,772,445.3784518884144,445.3784518884144,-15011.610953176481,-1221.450766723308,523.0890025206224,92.535828152958,968.4674544090368,1.286653141548513,0.21561926591338498,0.01844239118802765,0.02241892603767765
23.83957548774749,12596.483053726808,975.0839216149182,153.76560218976,33.9592989807667,0.22076376128337177,821.3183194251582,0.0008475229452850928,260,543.3311203200523,543.3311203200523,-6271.4890200769905,-1261.5369778100617,426.599267294368,111.02139823171342,969.9303876144203,0.5959893871936868,0.1996883440928441,0.015637777912943133,0.0187604598896704
20.302500557318425,23177.29856417673,1067.0694101623508,72.58968712829143,41.84193641104832,0.32895789801037356,994.4797230340594,0.0005338294973838873,616,459.2409039916959,459.2409039916959,-17308.26162573542,-1627.6623735017113,602.6457951725429,129.5938757946729,1061.8866991642387,0.50756251393296,0.29340757461794226,0.01620295470871383,0.020957024351441922
23.011081889567187,13409.110388747667,1052.8884609311065,84.43649646231725,36.83492439554261,0.27557071558620044,968.4519644687892,0.000767728176315123,359,548.3585816774812,548.3585816774812,-8424.378778981738,-1524.2068610178526,500.62440014843924,144.28798429623976,1048.9829818259204,0.5752770472391786,0.20593172507685661,0.015021969407379078,0.018115469481492417
28.246733537613043,10127.370502420517,1002.4704985244699,69.33968372257507,49.85457096546462,0.19595845536091216,933.1308148018949,0.0011915028739341578,164,650.5115501670068,650.5115501670068,-4889.1905388596315,-1446.314764901229,350.4823276691898,139.96489790667147,1000.9938778361966,0.0,0.21254160966116525,0.011471293888229749,0.016600336606725993
28.690251434746482,17150.92470867957,1075.8053122740087,80.21385163514017,27.727531924892812,0.2540532326825645,995.5914606388685,0.0010493689411013984,242,501.940902267957,501.940902267957,-9145.519779203876,-1943.9095826818054,571.6585713359436,209.97729627008414,1073.5994736039006,0.0,0.3168046377795278,0.014657458862677636,0.01930100980843655
11.866465664721039,21982.921928103686,1060.6360559275415,112.63293943920078,40.23470216879247,0.19142532517960753,948.0031164883408,0.00021109697047743862,907,522.1066792294371,522.1066792294371,-25920.899441305428,-2224.409388318644,524.7370330889953,84.28796690359911,1046.8437123184324,0.5933232832360524,0.1704050624691081,0.016504178732259664,0.019316574340131697
17.803518331292228,23634.301571477226,1070.8103701175412,85.54675617400818,36.42839534801124,0.22432195464970733,985.2636139435331,0.00042369163923082124,529,489.4527551716099,489.4527551716099,-19950.486639790382,-2212.1290953367647,575.9420196372059,128.25662051924286,1065.3947748088158,0.4450879582823062,0.26820430993644995,0.015768243818174352,0.019997354770337497
